id;humidity;temperature1;temperature2;pressure;dust;timestamp
112L; 35.9; 21.0; 21.3; 98869L; 0.083; '2017-04-21 14:53:36'
111L; 36.0; 21.0; 21.3; 98868L; 0.081; '2017-04-21 14:53:21'
110L; 36.0; 21.0; 21.3; 98865L; 0.079; '2017-04-21 14:53:05'
109L; 36.0; 21.0; 21.29; 98872L; 0.079; '2017-04-21 14:52:50'
108L; 36.0; 21.0; 21.29; 98870L; 0.087; '2017-04-21 14:52:34'
107L; 35.94; 21.0; 21.29; 98864L; 0.083; '2017-04-21 14:52:18'
106L; 35.88; 21.0; 21.26; 98866L; 0.089; '2017-04-21 14:52:03'
105L; 35.9; 21.0; 21.25; 98868L; 0.079; '2017-04-21 14:51:47'
104L; 35.98; 21.0; 21.28; 98866L; 0.084; '2017-04-21 14:51:31'
103L; 35.96; 21.0; 21.3; 98865L; 0.071; '2017-04-21 14:51:16'
102L; 35.98; 21.0; 21.26; 98865L; 0.08; '2017-04-21 14:51:00'
101L; 36.0; 21.0; 21.28; 98867L; 0.073; '2017-04-21 14:50:44'
100L; 36.0; 21.0; 21.25; 98866L; 0.082; '2017-04-21 14:50:29'
99L; 36.0; 21.0; 21.27; 98866L; 0.081; '2017-04-21 14:50:13'
98L; 35.96; 21.0; 21.29; 98865L; 0.081; '2017-04-21 14:49:57'
97L; 36.0; 21.0; 21.3; 98868L; 0.076; '2017-04-21 14:49:42'
96L; 36.04; 21.0; 21.3; 98866L; 0.079; '2017-04-21 14:49:26'
95L; 36.1; 21.0; 21.3; 98867L; 0.081; '2017-04-21 14:49:10'
94L; 36.16; 21.0; 21.3; 98864L; 0.072; '2017-04-21 14:48:55'
93L; 36.3; 21.0; 21.3; 98865L; 0.08; '2017-04-21 14:48:39'
92L; 36.4; 20.98; 21.3; 98869L; 0.077; '2017-04-21 14:48:23'
91L; 36.42; 20.9; 21.3; 98868L; 0.082; '2017-04-21 14:48:08'
90L; 36.5; 20.9; 21.3; 98867L; 0.073; '2017-04-21 14:47:52'
89L; 36.5; 20.9; 21.3; 98871L; 0.087; '2017-04-21 14:47:37'
88L; 36.48; 20.9; 21.24; 98871L; 0.072; '2017-04-21 14:47:21'
87L; 36.3; 20.82; 21.2; 98869L; 0.027; '2017-04-21 14:47:05'
86L; 36.44; 20.82; 21.2; 98872L; 0.071; '2017-04-21 14:46:50'
85L; 36.6; 20.8; 21.17; 98875L; 0.077; '2017-04-21 14:46:34'
84L; 36.66; 20.8; 21.1; 98875L; 0.086; '2017-04-21 14:46:18'
83L; 36.7; 20.8; 21.1; 98874L; 0.088; '2017-04-21 14:46:03'
82L; 36.8; 20.78; 21.1; 98875L; 0.085; '2017-04-21 14:45:47'
81L; 36.76; 20.72; 21.1; 98876L; 0.085; '2017-04-21 14:45:31'
80L; 36.74; 20.7; 21.1; 98880L; 0.086; '2017-04-21 14:45:16'
79L; 36.94; 20.7; 21.1; 98877L; 0.087; '2017-04-21 14:45:00'
78L; 37.04; 20.7; 21.02; 98879L; 0.087; '2017-04-21 14:44:44'
77L; 37.12; 20.66; 21.0; 98879L; 0.087; '2017-04-21 14:44:29'
76L; 37.16; 20.6; 21.0; 98880L; 0.089; '2017-04-21 14:44:13'
75L; 37.36; 20.6; 21.0; 98879L; 0.082; '2017-04-21 14:43:57'
74L; 37.58; 20.6; 21.0; 98880L; 0.084; '2017-04-21 14:43:42'
73L; 38.1; 20.5; 21.0; 98883L; 0.087; '2017-04-21 14:43:26'
72L; 37.42; 20.5; 20.91; 98880L; 0.086; '2017-04-21 14:43:11'
71L; 37.56; 20.48; 20.9; 98877L; 0.094; '2017-04-21 14:42:55'
70L; 37.64; 20.4; 20.82; 98881L; 0.091; '2017-04-21 14:42:39'
69L; 37.8; 20.4; 20.8; 98884L; 0.086; '2017-04-21 14:42:24'
68L; 38.32; 20.4; 20.8; 98886L; 0.088; '2017-04-21 14:42:08'
67L; 38.08; 20.3; 20.74; 98885L; 0.091; '2017-04-21 14:41:52'
66L; 38.16; 20.3; 20.7; 98889L; 0.092; '2017-04-21 14:41:37'
65L; 38.14; 20.22; 20.63; 98886L; 0.085; '2017-04-21 14:41:21'
64L; 38.22; 20.2; 20.6; 98888L; 0.082; '2017-04-21 14:41:05'
63L; 38.38; 20.16; 20.6; 98889L; 0.077; '2017-04-21 14:40:50'
62L; 40.6; 20.86; 21.2; 99129L; 0.0; '2017-04-18 13:07:56'
61L; 40.7; 20.9; 21.2; 99129L; 0.0; '2017-04-18 13:07:40'
60L; 40.72; 21.02; 21.5; 99151L; 0.089; '2017-04-18 12:04:05'
59L; 40.66; 21.04; 21.5; 99156L; 0.086; '2017-04-18 12:03:49'
58L; 40.26; 21.0; 21.42; 99153L; 0.085; '2017-04-18 12:03:34'
57L; 40.84; 21.2; 21.6; 99156L; 0.081; '2017-04-18 11:52:50'
